Date,merra2
1997-01-01,5.497430447171693
1997-02-01,8.56292453495658
1997-03-01,5.868478218965061
1997-04-01,6.304903904608633
1997-05-01,6.778813569722186
1997-06-01,5.693642874079336
1997-07-01,4.714784242251187
1997-08-01,4.016859393246857
1997-09-01,4.415133600157415
1997-10-01,6.7694513937018295
1997-11-01,6.579603661300364
1997-12-01,7.504665102582289
1998-01-01,8.636790927982997
1998-02-01,5.504451925896011
1998-03-01,6.9134949849974285
1998-04-01,7.058847280921555
1998-05-01,5.6862277402619865
1998-06-01,5.593367565802252
1998-07-01,5.868968535409025
1998-08-01,4.368595414000224
1998-09-01,7.234345421268807
1998-10-01,7.650220845440377
1998-11-01,6.125363857659607
1998-12-01,7.294489063798768
1999-01-01,8.181817432790941
1999-02-01,7.584931601662584
1999-03-01,6.849427798834637
1999-04-01,6.363185038323979
1999-05-01,5.386228272263947
1999-06-01,5.668284160516578
1999-07-01,5.274452573961384
1999-08-01,5.48926058465073
1999-09-01,6.086118681763619
1999-10-01,6.6177962972576
1999-11-01,6.31583914365351
1999-12-01,8.966686711562295
2000-01-01,6.514015080148514
2000-02-01,7.60910539718826
2000-03-01,6.671904288458074
2000-04-01,6.444585651520646
2000-05-01,5.071577237995774
2000-06-01,5.524649941737956
2000-07-01,5.734856412802504
2000-08-01,4.219589237089241
2000-09-01,5.225755836193855
2000-10-01,6.836259152841464
2000-11-01,8.4738361915271
2000-12-01,7.852455170986809
2001-01-01,7.869650021117711
2001-02-01,7.526721976504156
2001-03-01,7.7803313302880275
2001-04-01,6.711142725508123
2001-05-01,5.7936981852825635
2001-06-01,4.8761135421595805
2001-07-01,5.473955179233265
2001-08-01,5.210334924782014
2001-09-01,6.352573835436545
2001-10-01,6.555341412372568
2001-11-01,6.363997921025145
2001-12-01,7.743612834288313
2002-01-01,7.112577089782693
2002-02-01,10.188599142066444
2002-03-01,6.857953283577216
2002-04-01,6.769401776841185
2002-05-01,5.550396540972032
2002-06-01,5.386404037950102
2002-07-01,5.524495585897563
2002-08-01,4.636812145788848
2002-09-01,5.881281995965046
2002-10-01,7.225036328864053
2002-11-01,6.53448090600554
2002-12-01,7.186403563784038
2003-01-01,7.714799247261829
2003-02-01,6.2192857107388155
2003-03-01,6.371088391254895
2003-04-01,7.022819037923867
2003-05-01,6.02942370906713
2003-06-01,4.7662367331947
2003-07-01,4.999167956168427
2003-08-01,4.579455207943123
2003-09-01,5.369422964188659
2003-10-01,6.762635112332161
2003-11-01,6.48652401082951
2003-12-01,7.071693029981169
2004-01-01,7.854427558626117
2004-02-01,6.893056788154711
2004-03-01,6.558029314839148
2004-04-01,6.74746154285335
2004-05-01,5.10639914698294
2004-06-01,5.457667254702624
2004-07-01,5.200327398440585
2004-08-01,5.929512903193141
2004-09-01,6.16037148472094
2004-10-01,6.723523378430813
2004-11-01,5.701559277639405
2004-12-01,5.989117988625129
2005-01-01,7.5522816672694555
2005-02-01,6.593288657907827
2005-03-01,5.7797082192615115
2005-04-01,6.045210818479395
2005-05-01,5.794293622388596
2005-06-01,4.438441461979001
2005-07-01,5.677228009368248
2005-08-01,5.206641571709413
2005-09-01,5.006953271709317
2005-10-01,6.732018060936875
2005-11-01,5.826578377476709
2005-12-01,6.493357372136328
2006-01-01,6.185735349737229
2006-02-01,6.338142511669289
2006-03-01,7.658506562964079
2006-04-01,5.654095595984406
2006-05-01,6.717017256293797
2006-06-01,4.896506942284248
2006-07-01,4.414294835989931
2006-08-01,6.117128764074509
2006-09-01,5.167999313359697
2006-10-01,6.875925611727734
2006-11-01,7.314911105012598
2006-12-01,7.312158295797571
2007-01-01,8.959427278495788
2007-02-01,7.610329890414474
2007-03-01,6.450055849530444
2007-04-01,4.919281014172493
2007-05-01,6.763188007006803
2007-06-01,6.017963152750518
2007-07-01,6.768368925482627
2007-08-01,5.3918438737018075
2007-09-01,5.247285277056411
2007-10-01,5.244036682539519
2007-11-01,6.731720214040138
2007-12-01,7.486291260572645
2008-01-01,7.775938054874131
2008-02-01,7.141620679541897
2008-03-01,8.358700561815427
2008-04-01,5.6641014488713735
2008-05-01,5.771677566177745
2008-06-01,4.760359724990196
2008-07-01,5.183764184727984
2008-08-01,5.614939413779079
2008-09-01,6.383406896983854
2008-10-01,5.877156195830948
2008-11-01,6.248864540122674
2008-12-01,6.4748228018896175
2009-01-01,6.309993167722583
2009-02-01,5.9843276594262065
2009-03-01,7.422114824943843
2009-04-01,5.522633131717154
2009-05-01,5.654439570667585
2009-06-01,5.85417233915869
2009-07-01,5.632820091279487
2009-08-01,4.532897002315197
2009-09-01,5.3305741621789835
2009-10-01,5.790517989064567
2009-11-01,8.449625452856965
2009-12-01,7.346945603644995
2010-01-01,5.496935804227032
2010-02-01,8.048855744913306
2010-03-01,7.851182930004286
2010-04-01,6.167225852754766
2010-05-01,5.5373638773671825
2010-06-01,4.974195231811604
2010-07-01,4.434540692370459
2010-08-01,5.6572804095489175
2010-09-01,5.034057233863337
2010-10-01,6.420052790626449
2010-11-01,6.631118961476716
2010-12-01,5.975951050657844
2011-01-01,6.724793782550566
2011-02-01,5.408107365433454
2011-03-01,6.683863574437467
2011-04-01,5.020602692874639
2011-05-01,4.931516956044846
2011-06-01,5.6442404865295055
2011-07-01,4.990656726080667
2011-08-01,5.146478146529461
2011-09-01,5.2719642331020795
2011-10-01,5.699693773617667
2011-11-01,5.164525204627539
2011-12-01,8.903311761183144
2012-01-01,7.3846082380197045
2012-02-01,6.155537873564678
2012-03-01,5.6036046586252075
2012-04-01,6.877945499175893
2012-05-01,5.78325259899996
2012-06-01,5.344060021862351
2012-07-01,5.660087228655575
2012-08-01,5.2498561629610565
2012-09-01,5.570788737495669
2012-10-01,6.788257920725852
2012-11-01,5.848657622290018
2012-12-01,8.332187412179147
2013-01-01,5.694402049544346
2013-02-01,6.351507297341176
2013-03-01,5.777874327514435
2013-04-01,6.4222978718957275
2013-05-01,5.380314543510204
2013-06-01,5.465237083030463
2013-07-01,5.112162972104092
2013-08-01,4.573576368532359
2013-09-01,5.3783482604682655
2013-10-01,6.778739773668271
2013-11-01,6.845313886564761
2013-12-01,7.618785316434993
2014-01-01,7.227946905581501
2014-02-01,8.598685599148121
2014-03-01,5.207071181003292
2014-04-01,4.872303560085115
2014-05-01,6.35163532383573
2014-06-01,5.425232874813919
2014-07-01,4.876928765671732
2014-08-01,5.175157097597845
2014-09-01,4.775741073396728
2014-10-01,5.202709066824496
2014-11-01,5.813023199919436
2014-12-01,6.868833264488301
2015-01-01,7.341319925339116
2015-02-01,6.645330397782102
2015-03-01,6.442448180817955
2015-04-01,6.00223481310712
2015-05-01,5.733461090487253
2015-06-01,5.222215111389083
2015-07-01,5.63077467118508
2015-08-01,5.065170787110669
2015-09-01,6.67321659055819
2015-10-01,5.02690889897008
2015-11-01,7.4909663139799285
2015-12-01,6.912018476587793
2016-01-01,7.548645918438257
2016-02-01,8.738896460726147
2016-03-01,6.959174897232077
2016-04-01,5.574674766456308
2016-05-01,5.357280730303701
2016-06-01,4.644263852484375
2016-07-01,4.444904277038962
2016-08-01,4.475302151928849
2016-09-01,4.540020262424447
2016-10-01,5.403978922182379
2016-11-01,6.607343207333144
2016-12-01,5.090210872416779
2017-01-01,6.2825705387646
2017-02-01,6.873905345885534
2017-03-01,6.990306350730278
2017-04-01,5.176878490747919
2017-05-01,5.08163869620253
2017-06-01,5.395131611871988
2017-07-01,5.31855129486602
2017-08-01,4.59695698352806
2017-09-01,5.392851309415279
2017-10-01,6.412481132397027
2017-11-01,6.296487500848893
2017-12-01,7.745251023359357
2018-01-01,8.501497102445914
2018-02-01,6.44913790698493
2018-03-01,6.805235001023488
2018-04-01,6.15075960873664
2018-05-01,4.769329919281265
2018-06-01,4.447702775245238
2018-07-01,3.9156283697407037
2018-08-01,4.623397541740612
2018-09-01,5.053348327536974
2018-10-01,6.205045445922295
2018-11-01,6.283409408124232
2018-12-01,7.454226239270027
2019-01-01,6.790629727566355
2019-02-01,6.529830795432022
2019-03-01,8.679593268883739
2019-04-01,5.8657534291313675
